date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:02	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-62d7dcff-b103206d4f9c5104;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-includes/js/jquery/jquery.minaf6c.js	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:02	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-62d7dcfe-5966a919f1a09ff5;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:03	12559/12559	---M-Z	200	added ('OK')	application/x-javascript	etag:%22310f-62e7c030-e486fb39feb1c53f;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/js/typed.js?ver=ver_August%2011,%202022,%205:49	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/js/typed57cc.js	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:04	44116/44116	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Aug%202022%2017:50:04%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/wp-json/wp/v2/pages/608	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-json/wp/v2/pages/608.json	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:04	186478/186478	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Aug%202022%2017:50:04%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/wp-json/	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-json/index.html	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:05	942/942	---M-Z	200	added ('OK')	text/xml	date:Thu,%2011%20Aug%202022%2017:50:06%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/xmlrpc.php?rsd	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/xmlrpc0db0.php	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:06	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-62d7dc5c-101adeec1ea7f9c6;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-includes/wlwmanifest.xml	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-includes/wlwmanifest.xml	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:07	2459/2459	---M-Z	200	added ('OK')	application/json	date:Thu,%2011%20Aug%202022%2017:50:07%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffrenify.net%2Fenvato%2Ffrenify%2Fwp%2Fresumo%2F2%2F	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-json/oembed/1.0/embedffc4.json	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:08	2511/2511	---M-Z	200	added ('OK')	text/xml	date:Thu,%2011%20Aug%202022%2017:50:08%20GMT	https://frenify.net/envato/frenify/wp/resumo/2/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffrenify.net%2Fenvato%2Ffrenify%2Fwp%2Fresumo%2F2%2F&format=xml	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-json/oembed/1.0/embed4de4	(from https://frenify.net/envato/frenify/wp/resumo/2/)
18:50:08	1178/1178	---M-Z	200	added ('OK')	image/svg+xml	etag:%2249a-62e7c030-170b8b53d08d8211;gz%22	https://frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/svg/search-new.svg	C:/Users/PC/Desktop/3d-portfolio/3d-2/frenify.net/envato/frenify/wp/resumo/2/wp-content/themes/resumo/assets/svg/search-new.svg	(from https://frenify.net/envato/frenify/wp/resumo/2/)
